"","VOTE16","RACE","REGION","EDUC","BIGBANG","EVOLVED","DEGREE","POSTLIFE","AGE","OWNGUN","CAPPUN","COURTS","POLVIEWS","VOTE12","GOD","WORDSUM"
"1","Voted","WHITE","NEW ENGLAND",7,"False","False","JUNIOR COLLEGE","YES",26,"NO","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",12
"2","Voted","WHITE","MIDDLE ATLANTIC",9,"False","False","BACHELOR","YES",39,"NO","OPPOSE","ABOUT RIGHT","CONSERVATIVE","voted12","KNOW GOD EXISTS",11
"3","Voted","WHITE","MIDDLE ATLANTIC",5,"False","False","HIGH SCHOOL","YES",51,"NO","FAVOR","NOT HARSH ENOUGH","MODERATE","voted12","KNOW GOD EXISTS",4
"4","Voted","WHITE","MIDDLE ATLANTIC",9,"True","True","BACHELOR","NO",39,"NO","OPPOSE","TOO HARSH","EXTREMELY LIBERAL","voted12","DONT BELIEVE",11
"5","Voted","WHITE","MIDDLE ATLANTIC",14,"True","True","GRADUATE","NO",54,"NO","OPPOSE","TOO HARSH","MODERATE","voted12","BELIEVE BUT DOUBTS",11
"6","Did not vote","BLACK","MIDDLE ATLANTIC",6,"False","True","HIGH SCHOOL","YES",10,"NO","OPPOSE","TOO HARSH","LIBERAL","no in 12","KNOW GOD EXISTS",7
"7","Voted","BLACK","MIDDLE ATLANTIC",9,"False","False","BACHELOR","YES",24,"NO","OPPOSE","ABOUT RIGHT","MODERATE","voted12","KNOW GOD EXISTS",11
"8","Voted","BLACK","MIDDLE ATLANTIC",14,"False","True","GRADUATE","YES",62,"NO","OPPOSE","TOO HARSH","LIBERAL","voted12","KNOW GOD EXISTS",11
"9","Voted","BLACK","MIDDLE ATLANTIC",12,"False","False","GRADUATE","YES",15,"NO","OPPOSE","TOO HARSH","SLIGHTLY LIBERAL","voted12","KNOW GOD EXISTS",12
"10","Voted","BLACK","MIDDLE ATLANTIC",9,"False","False","BACHELOR","YES",28,"NO","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","voted12","KNOW GOD EXISTS",11
"11","Voted","WHITE","MIDDLE ATLANTIC",7,"True","True","HIGH SCHOOL","YES",43,"NO","OPPOSE","TOO HARSH","SLGHTLY CONSERVATIVE","voted12","KNOW GOD EXISTS",11
"12","Voted","WHITE","MIDDLE ATLANTIC",10,"True","True","BACHELOR","YES",18,"NO","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","voted12","NO WAY TO FIND OUT",11
"13","Did not vote","WHITE","NEW ENGLAND",5,"False","True","HIGH SCHOOL","YES",44,"YES","FAVOR","NOT HARSH ENOUGH","EXTRMLY CONSERVATIVE","no in 12","KNOW GOD EXISTS",11
"14","Voted","WHITE","PACIFIC",9,"True","True","BACHELOR","YES",52,"NO","FAVOR","NOT HARSH ENOUGH","LIBERAL","voted12","SOME HIGHER POWER",9
